"Image_date","area_kelp","Year","month","day","hour","Caldera","Valparaiso","tide","tide.caldera","tide.valparaiso","localpass","perfecttide","perfect.tide.sat"
2021-05-03,18.64914209,2021,5,3,11,1.016,0.693,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-05-31,4.754943393,2021,5,31,12,0.877,0.302,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-05-31,4.754943393,2021,5,31,11,0.823,0.39,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-06-17,0,2021,6,17,12,1.051,0.686,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-06-17,0,2021,6,17,11,1.066,0.743,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-08-16,7.529214976,2021,8,16,12,1.003,0.733,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-09-08,40.93366286,2021,9,8,11,1.092,0.414,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-09-13,27.86662038,2021,9,13,12,0.782,0.424,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-09-13,27.86662038,2021,9,13,11,0.941,0.549,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-10-08,19.91071584,2021,10,8,11,1.037,0.41,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-10-13,0.678115173,2021,10,13,11,1.044,0.794,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-10-13,0.678115173,2021,10,13,12,0.909,0.566,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-12-24,0,2021,12,24,12,0.784,0.383,"low","low","low","oksatellite","perfecttide","perfect satellite"
2021-12-24,0,2021,12,24,11,0.814,0.46,"low","low","low","oksatellite","perfecttide","perfect satellite"
2022-01-11,0.66085054,2022,1,11,12,1.025,0.766,"low","low","low","oksatellite","perfecttide","perfect satellite"
2022-01-18,15.24054173,2022,1,18,11,0.91,0.4,"low","low","low","oksatellite","perfecttide","perfect satellite"
2022-01-18,15.24054173,2022,1,18,12,1.055,0.62,"low","low","low","oksatellite","perfecttide","perfect satellite"
2022-01-21,1.695440888,2022,1,21,12,0.82,0.329,"low","low","low","oksatellite","perfecttide","perfect satellite"
2022-01-21,1.695440888,2022,1,21,11,0.701,0.258,"low","low","low","oksatellite","perfecttide","perfect satellite"
2022-01-23,6.867769634,2022,1,23,12,0.73,0.294,"low","low","low","oksatellite","perfecttide","perfect satellite"
2022-01-23,6.867769634,2022,1,23,11,0.761,0.359,"low","low","low","oksatellite","perfecttide","perfect satellite"
